snapshot_month,month_end_date,month_type,state,warehouse,sku,brand,brand_family,inventory_units,inventory_value_usd,seasonality_index,outlier_flag,trend_signal
2025-12,2025-12-31,Historical,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,1692,20134.80,1.15,N,Historical baseline
2026-01,2026-01-31,Historical,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,1270,15113.00,0.86,N,Historical baseline
2026-02,2026-02-28,Historical,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,1334,15874.60,0.90,N,Historical baseline
2026-03,2026-03-31,Historical,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,1545,18385.50,0.98,N,Recent trend
2026-04,2026-04-30,Historical,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,1660,19754.00,1.05,N,Recent trend
2026-05,2026-05-31,Historical,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,1776,21134.40,1.12,N,Recent trend
2026-06,2026-06-30,Current,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,1015,12078.50,1.18,N,Recent trend
2026-07,2026-07-31,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,124,1475.60,1.24,N,Forward projected inventory
2026-08,2026-08-31,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,1.20,N,Forward projected inventory
2026-09,2026-09-30,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,1.08,N,Forward projected inventory
2026-10,2026-10-31,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,1.00,N,Forward projected inventory
2026-11,2026-11-30,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,0.96,N,Forward projected inventory
2026-12,2026-12-31,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,1.15,N,Forward projected inventory
2027-01,2027-01-31,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,0.86,N,Forward projected inventory
2027-02,2027-02-28,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,0.90,N,Forward projected inventory
2027-03,2027-03-31,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,0.98,N,Forward projected inventory
2027-04,2027-04-30,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,1.05,N,Forward projected inventory
2027-05,2027-05-31,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,1.12,N,Forward projected inventory
2027-06,2027-06-30,Forward,TX,DAL-01,SKU-3001,FieldHouse,Protein Snacks,25,297.50,1.18,N,Forward projected inventory
2025-06,2025-06-30,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1395,16809.75,1.18,N,Historical baseline
2025-07,2025-07-31,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1471,17725.55,1.24,N,Historical baseline
2025-08,2025-08-31,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1432,17255.60,1.20,N,Historical baseline
2025-09,2025-09-30,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1299,15652.95,1.08,N,Historical baseline
2025-10,2025-10-31,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1212,14604.60,1.00,N,Historical baseline
2025-11,2025-11-30,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1170,14098.50,0.96,N,Historical baseline
2025-12,2025-12-31,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1398,16845.90,1.15,N,Historical baseline
2026-01,2026-01-31,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1061,12785.05,0.86,N,Historical baseline
2026-02,2026-02-28,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1112,13399.60,0.90,N,Historical baseline
2026-03,2026-03-31,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1281,15436.05,0.98,N,Recent trend
2026-04,2026-04-30,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1373,16544.65,1.05,N,Recent trend
2026-05,2026-05-31,Historical,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1466,17665.30,1.12,N,Recent trend
2026-06,2026-06-30,Current,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,1057,12736.85,1.18,N,Recent trend
2026-07,2026-07-31,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,344,4145.20,1.24,N,Forward projected inventory
2026-08,2026-08-31,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,1.20,N,Forward projected inventory
2026-09,2026-09-30,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,1.08,N,Forward projected inventory
2026-10,2026-10-31,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,1.00,N,Forward projected inventory
2026-11,2026-11-30,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,0.96,N,Forward projected inventory
2026-12,2026-12-31,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,1.15,N,Forward projected inventory
2027-01,2027-01-31,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,0.86,N,Forward projected inventory
2027-02,2027-02-28,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,0.90,N,Forward projected inventory
2027-03,2027-03-31,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,0.98,N,Forward projected inventory
2027-04,2027-04-30,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,1.05,N,Forward projected inventory
2027-05,2027-05-31,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,1.12,N,Forward projected inventory
2027-06,2027-06-30,Forward,IL,CHI-01,SKU-3001,FieldHouse,Protein Snacks,25,301.25,1.18,N,Forward projected inventory
2025-06,2025-06-30,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,942,10738.80,1.18,N,Historical baseline
2025-07,2025-07-31,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,990,11286.00,1.24,N,Historical baseline
2025-08,2025-08-31,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,965,11001.00,1.20,N,Historical baseline
2025-09,2025-09-30,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,882,10054.80,1.08,N,Historical baseline
2025-10,2025-10-31,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,826,9416.40,1.00,N,Historical baseline
2025-11,2025-11-30,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,800,9120.00,0.96,N,Historical baseline
2025-12,2025-12-31,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,944,10761.60,1.15,N,Historical baseline
2026-01,2026-01-31,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,731,8333.40,0.86,N,Historical baseline
2026-02,2026-02-28,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,763,8698.20,0.90,N,Historical baseline
2026-03,2026-03-31,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,870,9918.00,0.98,N,Recent trend
2026-04,2026-04-30,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,928,10579.20,1.05,N,Recent trend
2026-05,2026-05-31,Historical,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,987,11251.80,1.12,N,Recent trend
2026-06,2026-06-30,Current,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,590,6726.00,1.18,N,Recent trend
2026-07,2026-07-31,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,140,1596.00,1.24,N,Forward projected inventory
2026-08,2026-08-31,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,1.20,N,Forward projected inventory
2026-09,2026-09-30,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,1.08,N,Forward projected inventory
2026-10,2026-10-31,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,1.00,N,Forward projected inventory
2026-11,2026-11-30,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,0.96,N,Forward projected inventory
2026-12,2026-12-31,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,1.15,N,Forward projected inventory
2027-01,2027-01-31,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,0.86,N,Forward projected inventory
2027-02,2027-02-28,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,0.90,N,Forward projected inventory
2027-03,2027-03-31,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,0.98,N,Forward projected inventory
2027-04,2027-04-30,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,1.05,N,Forward projected inventory
2027-05,2027-05-31,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,1.12,N,Forward projected inventory
2027-06,2027-06-30,Forward,WA,SEA-01,SKU-3002,FieldHouse,Protein Snacks,25,285.00,1.18,N,Forward projected inventory
2025-06,2025-06-30,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1221,19291.80,1.18,N,Historical baseline
2025-07,2025-07-31,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1283,20271.40,1.24,N,Historical baseline
2025-08,2025-08-31,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1251,19765.80,1.20,N,Historical baseline
2025-09,2025-09-30,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1145,18091.00,1.08,N,Historical baseline
2025-10,2025-10-31,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1074,16969.20,1.00,N,Historical baseline
2025-11,2025-11-30,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1040,16432.00,0.96,N,Historical baseline
2025-12,2025-12-31,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1224,19339.20,1.15,N,Historical baseline
2026-01,2026-01-31,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,953,15057.40,0.86,N,Historical baseline
2026-02,2026-02-28,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,994,15705.20,0.90,N,Historical baseline
2026-03,2026-03-31,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1130,17854.00,0.98,N,Recent trend
2026-04,2026-04-30,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1204,19023.20,1.05,N,Recent trend
2026-05,2026-05-31,Historical,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,1279,20208.20,1.12,N,Recent trend
2026-06,2026-06-30,Current,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,770,12166.00,1.18,Y,Supplier delay caused unusually low stock
2026-07,2026-07-31,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,196,3096.80,1.24,N,Forward projected inventory
2026-08,2026-08-31,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,117,1848.60,1.20,N,Forward projected inventory
2026-09,2026-09-30,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,1.08,N,Forward projected inventory
2026-10,2026-10-31,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,1.00,N,Forward projected inventory
2026-11,2026-11-30,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,43,679.40,0.96,N,Forward projected inventory
2026-12,2026-12-31,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,1.15,N,Forward projected inventory
2027-01,2027-01-31,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,0.86,N,Forward projected inventory
2027-02,2027-02-28,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,57,900.60,0.90,N,Forward projected inventory
2027-03,2027-03-31,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,0.98,N,Forward projected inventory
2027-04,2027-04-30,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,1.05,N,Forward projected inventory
2027-05,2027-05-31,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,1.12,N,Forward projected inventory
2027-06,2027-06-30,Forward,NY,NYC-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,395.00,1.18,N,Forward projected inventory
2025-06,2025-06-30,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,846,12986.10,1.18,N,Historical baseline
2025-07,2025-07-31,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,894,13722.90,1.24,N,Historical baseline
2025-08,2025-08-31,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,869,13339.15,1.20,N,Historical baseline
2025-09,2025-09-30,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,786,12065.10,1.08,N,Historical baseline
2025-10,2025-10-31,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,731,11220.85,1.00,N,Historical baseline
2025-11,2025-11-30,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,705,10821.75,0.96,N,Historical baseline
2025-12,2025-12-31,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,848,13016.80,1.15,N,Historical baseline
2026-01,2026-01-31,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,637,9777.95,0.86,N,Historical baseline
2026-02,2026-02-28,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,669,10269.15,0.90,N,Historical baseline
2026-03,2026-03-31,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,774,11880.90,0.98,N,Recent trend
2026-04,2026-04-30,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,832,12771.20,1.05,N,Recent trend
2026-05,2026-05-31,Historical,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,890,13661.50,1.12,N,Recent trend
2026-06,2026-06-30,Current,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,663,10177.05,1.18,N,Recent trend
2026-07,2026-07-31,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,216,3315.60,1.24,N,Forward projected inventory
2026-08,2026-08-31,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,154,2363.90,1.20,N,Forward projected inventory
2026-09,2026-09-30,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,1.08,N,Forward projected inventory
2026-10,2026-10-31,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,1.00,N,Forward projected inventory
2026-11,2026-11-30,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,39,598.65,0.96,N,Forward projected inventory
2026-12,2026-12-31,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,1.15,N,Forward projected inventory
2027-01,2027-01-31,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,0.86,N,Forward projected inventory
2027-02,2027-02-28,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,50,767.50,0.90,N,Forward projected inventory
2027-03,2027-03-31,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,0.98,N,Forward projected inventory
2027-04,2027-04-30,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,1.05,N,Forward projected inventory
2027-05,2027-05-31,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,1.12,N,Forward projected inventory
2027-06,2027-06-30,Forward,FL,MIA-01,SKU-4001,UrbanRoast,Ready-to-Drink Coffee,25,383.75,1.18,N,Forward projected inventory
